,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-03,0.40174,0.53877,0.94051,0.15722,0.03334,1.43753,0.35889,0.0,0.98793,0.0,1.76647,3.204,0.32421,0.10392,0.96094,0.89086,0.99478,0.05928,0.0,0.0,1.45881,2.41975,0.43708013,0.33182,0.78425,1.5267,0.59304,0.0,0.0
2019-12,0.39771,0.67391,1.07162,0.2097,0.04097,1.63231,0.37031,0.0,0.99899,0.0,1.77387,3.40618,0.45111,0.10224,1.02161,0.93078,1.03302,0.05573,0.0,0.0,1.48926,2.51087,0.41587041,0.43977,0.89531,1.6729,0.63531,0.0,0.0
2019-09,0.48844,0.51713,1.00557,0.22926,0.04106,1.62819,0.37378,0.0,1.05341,0.0,1.75697,3.38516,0.46236,0.1026,1.05718,0.91807,1.02067,0.05522,0.0,0.0,1.4231,2.48028,0.40730764,0.45898,0.90488,1.57054,0.53223,0.0,0.0
2019-06,0.5053,0.44084,0.94614,0.14148,0.03355,1.34973,0.37636,0.0,1.15996,0.0,1.87266,3.22239,0.29115,0.13529,0.89704,0.84936,0.98465,0.05434,0.0,0.0,1.36079,2.25783,0.38839605,0.53724,0.96456,1.6008,0.47935,0.0,0.0
2019-03,0.37988,0.42104,0.80092,0.15085,0.04884,1.23346,0.38746,0.0,1.45319,0.0,2.18652,3.41998,0.30443,0.10505,0.93772,0.90201,1.00706,0.05532,0.0,0.0,1.42366,2.36138,0.38193716,0.64558,1.0586,1.87423,0.62718,0.0,0.0
2018-12,0.44771,0.41656,0.86427,0.18077,0.04988,1.40828,0.39597,0.0,1.58608,0.0,2.32891,3.73719,0.44293,0.09772,1.08283,0.92989,1.02761,0.05546,0.0,0.0,1.47544,2.55827,0.36240197,0.8051,1.17892,2.00264,0.5799,0.0,0.0
2018-09,0.25913,0.40388,0.66301,0.23186,0.03956,1.31339,0.41304,0.0,1.70799,0.0,2.34386,3.65725,0.55888,0.08784,1.16866,0.93735,1.02519,0.07543,0.0,0.0,1.41712,2.58578,0.35446014,0.704,1.07147,2.11187,0.76606,0.0,0.0
2018-06,0.31971,0.38999,0.7097,0.14104,0.05936,1.15761,0.38117,0.0,1.72773,0.0,2.33436,3.49197,0.38489,0.05498,0.88548,0.97128,1.02626,0.07403,0.0,0.0,1.457,2.34248,0.33781083,0.79436,1.14949,2.11772,0.70655,0.0,0.0
2018-03,0.45059,0.42881,0.8794,0.14324,0.07662,1.30053,0.35077,0.0,1.79286,0.0,2.37449,3.67502,0.34311,0.08498,0.8932,1.01362,1.0986,0.07775,0.0,0.0,1.51304,2.40624,0.33100718,0.91898,1.26878,2.22167,0.64801,0.0,0.0
2017-12,0.27491,0.49662,0.77153,0.2344,0.04421,1.4381,0.33679,0.08038,2.07944,0.0,2.62984,4.06794,0.62985,0.06498,1.15788,1.03922,1.1042,0.08044,0.0,0.0,1.50807,2.66595,0.31365349,1.04593,1.40199,2.57606,0.82929,0.0,0.0
2017-09,0.20289,0.53892,0.74181,0.17874,0.04855,1.28645,0.33783,0.08015,1.94714,0.0,2.46674,3.75319,0.49049,0.06496,1.00814,0.97207,1.03703,0.07548,0.0,0.0,1.40458,2.41272,0.30740799,0.9833,1.34047,2.48606,0.83414,0.0,0.0
