,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Capex per Share
2020-03,0.13290500208543682,0.025638337394047275,0.03033797751374907,0.026114683070583494,0.09156321152710954,0.17874358699690263,0.7302447596277667,0.17874358699690263,0.2284521956344856,0.12424281968999999,0.13017321968999998,1.1044787953595876,0.21306195820828971,0.9333845668244308,1.0843325160586492,0.15842246693018808,0.15842246693018808,0.22323190316053024,0.8323628089391905,0.9779371924723914,1.1360902399197068,9.054044352878932e-05,9.222263329654799e-05,0.030854319413452347,0.007552278401997503,0.03792058315749089,0.014959622869273837,0.16978863936591812,0.01183305182682905,2.71645476850977e-05,0.0030002666903724768,0.0008492102961603759,0.0008492102961603759,0.0,0.07183486238532111,0.31469508904479226,0.015035078251484082,0.00029101572548145355,0.32110821974078874,-0.3064691845372268,0.0047659,0.0,-0.0098222,0.0,0.0018345999999999998,0.0038765999999999996,0.00037154999999999995,0.004223294443165579
2019-12,0.20796867072552006,0.05036420961078496,0.06911828658404001,0.06434596289048344,0.09008072407045009,0.20278638472131622,0.771494708994709,0.20278638472131622,0.23575550844386464,0.1364026608,0.1427557608,0.6134316459794927,0.14855602957993447,0.4469873535194653,0.48013890246048796,0.1523524374797556,0.1523524374797556,0.1554751857458696,0.5029267599084022,0.4678062681871804,0.5025018860220353,0.0001630173478258131,0.00020827306324804483,0.028044699601255427,0.007371512955862579,0.022381891844283956,0.015977819324399723,0.32571974522292985,0.01372369131138694,2.5945241678159408e-05,0.0015915632307969062,0.0005660048573824589,0.0005660048573824589,0.0,0.14483151400094924,0.4357807308970099,0.01336497389653536,0.00018623596423398208,0.47937089992212406,-0.28572561063999424,0.006107,0.0,-0.0087856,0.0,0.002097,0.0045111,0.0004097,0.00477232369355657
2019-09,0.1386797359974395,0.029637271500014942,0.04311545196297658,0.03710181006939617,0.10577253318330626,0.1959533408953202,0.733062297172224,0.1959533408953202,0.22278193629307594,0.11500715577,0.12032945577,0.8403270186321788,0.1795864393660212,0.5776351369663487,0.6712610504289969,0.12709658271815044,0.12709658271815044,0.18789733880387252,0.6399141447032546,0.6043669300351582,0.7023256625809841,0.00011900129090550066,0.0001489733389656542,0.027410043320661305,0.007326921031797611,0.0283040842373963,0.01540125617208044,0.1929012345679013,0.014547712991378048,3.0250291616267484e-05,0.002542013736665205,0.0007148657089319176,0.0007148657089319176,0.0,0.07169607490097227,0.23060857039971194,0.011447605329492261,0.00023407245471580263,0.3614820233740755,-0.2776702237455915,0.0057101,0.033851599999999996,-0.0085209,0.0292001,0.0021948,0.0045673499999999995,0.00041014999999999997,0.00601364189358041
2019-06,0.11546562092625275,0.021552838680950825,0.024969019403777756,0.02067733507861829,0.10842940447515384,0.20697935163379055,0.69147403262753,0.20697935163379055,0.2131486478512073,0.09771454939999999,0.1025080494,0.9728648884906413,0.18159517813005266,0.8397606514266073,1.0140571751764216,0.10130479120013273,0.10130479120013273,0.19050353918489468,0.7080752186226428,0.8809560794087317,1.0638029202988792,0.00010278919630365711,9.861376897471524e-05,0.02340787509330679,0.007006693789392345,0.03311114181114872,0.015046486221350219,0.13330254041570438,0.011585025886101157,3.7138788668455964e-05,0.0036131023496614894,0.0008225389804679514,0.0008225389804679514,0.0,0.058179999999999996,0.269045,0.014665,0.0002780204055083722,0.31681592914679163,-0.2550987892085597,0.0045268999999999995,0.0322239,-0.009080999999999999,0.029042299999999997,0.0017559,0.0037113,0.0003726,0.004291684325159463
2019-03,0.12330643610074082,0.02457201943912203,0.023709097555869408,0.018686722161470538,0.08074058251477967,0.22499731665301081,0.7268905375089401,0.22499731665301081,0.21618956225843236,0.096267879645,0.10253967964499999,0.8326950925092986,0.16593618830474877,0.8630020586732406,1.094948585589172,0.09093886231343283,0.09093886231343283,0.17674684072222704,0.6231521096627166,0.9192261734199914,1.166283890411738,0.00012009197712292669,9.132848913284071e-05,0.022306631399962216,0.0069046602611711186,0.03811485870556062,0.013153819903595956,0.13282178217821783,0.009648819306288385,3.576478481396389e-05,0.002978116079923882,0.000768421959837973,0.000768421959837973,0.0,0.04720694033008886,0.2455141768937791,0.012865002115954297,0.00026096699129535473,0.3526958532040485,-0.30242702093223195,0.0029574,0.034199799999999995,-0.0112792,0.0322868,0.0018027499999999999,0.0037776999999999997,0.00044905,0.005022375394398871
2018-12,0.17802619187384658,0.04215742996988906,0.056357716298339036,0.049273409884666226,0.09453695452952181,0.248936826146264,0.7891326106144237,0.248936826146264,0.21886600419779467,0.0740208666,0.0798198666,0.370753151014275,0.08779606997983631,0.27733558111652307,0.3172096275980287,0.06278701404675466,0.06278701404675466,0.09467425762068557,0.29849245203993874,0.2990628197826901,0.3420607096635955,0.0002697212410101667,0.00031524894359991187,0.021700115359820853,0.006845437347311751,0.02168580083018586,0.01300555027104901,0.26231460674157303,0.01336839469070874,4.820262398819308e-05,0.0017871274730778867,0.0005673111137468865,0.0005673111137468865,0.0,0.07955290611028316,0.2512965722801789,0.010119225037257824,0.00018491282172933217,0.48592908777075744,-0.3238050643816699,0.0032545,0.0373719,-0.011499899999999999,0.0335395,0.0019523499999999998,0.0044702,0.00045424999999999996,0.007084306413672818
2018-09,0.1269328246872034,0.028504390281506337,0.03939760789138748,0.03326083968989645,0.05229269135325122,0.21622371012336697,0.7380366821737278,0.21622371012336697,0.20863599278117487,0.105172921448,0.112833521448,0.7445870544991151,0.16720655238155804,0.5387129101470061,0.6381077626987016,0.09815759792434695,0.09815759792434695,0.17938556668998412,0.5978885197541332,0.5779517566357629,0.6845863453949764,0.00013430263042549156,0.0001567133419237488,0.024133013523477093,0.0070702850502426685,0.040592412038999576,0.011238426916297296,0.18569124423963132,0.013821592920353983,3.356377241783966e-05,0.0024991150442477883,0.0006702702702702702,0.0006702702702702702,0.0,0.0641992765537652,0.20683985531075305,0.009056231502795133,0.0002138314785373609,0.3723906725243185,-0.34893308823930047,0.0014472999999999999,0.0365725,-0.0127239,0.0338366,0.0022077999999999998,0.00504995,0.00040265,0.006136768201491026
2018-06,0.10638871578543695,0.023007446111563846,0.028937570905837054,0.022412236549861783,0.06385719764153205,0.2295931003627183,0.6974677628109871,0.2295931003627183,0.20666954284709907,0.09508110024,0.10214660024,0.8254284246896431,0.1785057734722613,0.6562748498067366,0.8473496144728635,0.08271590030361291,0.08271590030361291,0.19177058150755655,0.6686299681874713,0.7050427956929873,0.9103163732287677,0.0001211492081068077,0.0001180150415979242,0.020378428694464504,0.006708190505645812,0.04624926359887414,0.013073248407643312,0.14907801418439715,0.012577480684087159,3.841983307701783e-05,0.003171282229360188,0.0007712381488782503,0.0007712381488782503,0.0,0.04434649525558616,0.1630394857667585,0.008157330884603612,0.000253637473012297,0.3447504820795723,-0.2990668392374926,0.0027213,0.0349197,-0.011848699999999998,0.0343278,0.0017537,0.00418,0.00050165,0.006525334355975266
2018-03,0.12061251436955367,0.02726836733264587,0.029848820557295035,0.021876640526096804,0.08889345707145782,0.2503079084381018,0.725016606242369,0.2503079084381018,0.21829687325220165,0.08376826130199999,0.09024836130200001,0.6060502192302127,0.13701729116901387,0.5536567171315268,0.7554176328072866,0.06602268423367329,0.06602268423367329,0.1476166009159756,0.48434691838136645,0.5964861949900859,0.8138548228154027,0.00016500282786303927,0.00013237710593063542,0.018964989990384463,0.006547556203775762,0.03477754521547792,0.014560344827586209,0.20068181818181818,0.010946317464911008,3.808124879779303e-05,0.002307914918246274,0.0006788033433109246,0.0006788033433109246,0.0,0.0374412274189557,0.15129175946547885,0.006778025241276912,0.0002204884112730425,0.39188452362273773,-0.27246666273417175,0.0040733,0.0367502,-0.011057099999999999,0.035496299999999995,0.0017647,0.0039711,0.00058795,0.007972180031198232
2017-12,0.17268751037820781,0.03924404987641986,0.05533675071784438,0.049539623190622425,0.0537681622303842,0.2742076525603882,0.7799053253187982,0.2742076525603882,0.21740010565480067,0.08587588209199999,0.094168782092,0.4279884480039871,0.09726239010114052,0.3035234230799138,0.33904173908168506,0.06125284923002305,0.06125284923002305,0.10665486742097334,0.32450732999758786,0.3328342066659598,0.37178247104899526,0.00023365116620873937,0.0002949489354049918,0.019015470866411317,0.006553562736913524,0.02857748371756436,0.012420112619615158,0.35795640326975475,0.014100672813356592,3.888169668432499e-05,0.0016640917019686023,0.00047919993657481334,0.00047919993657481334,0.00019759386814948102,0.09545546558704454,0.29788461538461536,0.009261133603238868,0.00014678400326186675,0.49205987730707884,-0.3318122067086691,0.0028022,0.0132161,-0.0122785,0.0377877,0.0022205,0.0054047999999999995,0.0004259,0.005797127527221954
